pc	macro_index	micro_opcode	rounding
514	71	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
515	71	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
516	71	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
517	71	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
518	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
519	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
520	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
521	72	RESHAPE	exact_or_explicitly_pinned
522	72	TRANSPOSE	exact_or_explicitly_pinned
523	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
524	72	RELATIVE_BIAS	exact_or_explicitly_pinned
525	72	CAUSAL_MASK	exact_or_explicitly_pinned
526	72	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
527	72	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
528	72	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
529	72	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
530	72	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
531	72	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
532	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
533	72	RESHAPE	exact_or_explicitly_pinned
534	72	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
535	73	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
536	74	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
537	74	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
538	74	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
539	74	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
540	74	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
541	74	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
542	74	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
543	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
544	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
545	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
546	75	RESHAPE	exact_or_explicitly_pinned
547	75	TRANSPOSE	exact_or_explicitly_pinned
548	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
549	75	RELATIVE_BIAS	exact_or_explicitly_pinned
550	75	CAUSAL_MASK	exact_or_explicitly_pinned
551	75	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
552	75	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
553	75	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
554	75	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
555	75	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
556	75	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
557	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
558	75	RESHAPE	exact_or_explicitly_pinned
559	75	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
560	76	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
561	77	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
562	77	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
563	77	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
564	77	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
565	77	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
566	77	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
567	77	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
568	78	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
569	78	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
570	78	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
571	78	F32_CUBE	binary32_roundTiesToEven_after_each_scalar_result
572	78	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
573	78	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
574	78	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
575	78	F32_TANH	binary32_roundTiesToEven_after_each_scalar_result
576	78	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
577	78	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
578	78	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
579	78	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
580	79	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
581	80	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
582	80	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
583	80	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
584	80	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
585	80	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
586	80	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
587	80	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
588	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
589	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
590	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
591	81	RESHAPE	exact_or_explicitly_pinned
592	81	TRANSPOSE	exact_or_explicitly_pinned
593	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
594	81	RELATIVE_BIAS	exact_or_explicitly_pinned
595	81	CAUSAL_MASK	exact_or_explicitly_pinned
596	81	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
597	81	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
598	81	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
599	81	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
600	81	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
601	81	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
602	81	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
