name	dtype	begin	end	shape	elements	crc32
model.encoder.layers.1.self_attn_layer_norm.weight	F32	136865960	136867496	384	384	e097f4c9
model.encoder.layers.2.fc1.bias	F32	136867496	136873640	1536	1536	1684d743
model.encoder.layers.2.fc1.weight	F32	136873640	139232936	1536x384	589824	bc4e97d5
model.encoder.layers.2.fc2.bias	F32	139232936	139234472	384	384	2fa0e533
model.encoder.layers.2.fc2.weight	F32	139234472	141593768	384x1536	589824	d861d37b
model.encoder.layers.2.final_layer_norm.bias	F32	141593768	141595304	384	384	ebe0be72
model.encoder.layers.2.final_layer_norm.weight	F32	141595304	141596840	384	384	74d3bd92
model.encoder.layers.2.self_attn.k_proj.weight	F32	141596840	142186664	384x384	147456	a3f53614
model.encoder.layers.2.self_attn.out_proj.bias	F32	142186664	142188200	384	384	fe71542a
model.encoder.layers.2.self_attn.out_proj.weight	F32	142188200	142778024	384x384	147456	ccb6ec3e
model.encoder.layers.2.self_attn.q_proj.bias	F32	142778024	142779560	384	384	50f472b1
model.encoder.layers.2.self_attn.q_proj.weight	F32	142779560	143369384	384x384	147456	0e298cd9
model.encoder.layers.2.self_attn.v_proj.bias	F32	143369384	143370920	384	384	4bb6bb3f
model.encoder.layers.2.self_attn.v_proj.weight	F32	143370920	143960744	384x384	147456	8e549873
model.encoder.layers.2.self_attn_layer_norm.bias	F32	143960744	143962280	384	384	9430e72c
model.encoder.layers.2.self_attn_layer_norm.weight	F32	143962280	143963816	384	384	08312a52
model.encoder.layers.3.fc1.bias	F32	143963816	143969960	1536	1536	d2edd880
model.encoder.layers.3.fc1.weight	F32	143969960	146329256	1536x384	589824	0a86bf60
model.encoder.layers.3.fc2.bias	F32	146329256	146330792	384	384	3df9a8da
model.encoder.layers.3.fc2.weight	F32	146330792	148690088	384x1536	589824	543452e9
model.encoder.layers.3.final_layer_norm.bias	F32	148690088	148691624	384	384	852c176b
model.encoder.layers.3.final_layer_norm.weight	F32	148691624	148693160	384	384	c431ff71
model.encoder.layers.3.self_attn.k_proj.weight	F32	148693160	149282984	384x384	147456	44ff38dc
model.encoder.layers.3.self_attn.out_proj.bias	F32	149282984	149284520	384	384	8336e947
model.encoder.layers.3.self_attn.out_proj.weight	F32	149284520	149874344	384x384	147456	5844989e
model.encoder.layers.3.self_attn.q_proj.bias	F32	149874344	149875880	384	384	fc4925b7
model.encoder.layers.3.self_attn.q_proj.weight	F32	149875880	150465704	384x384	147456	17895f32
model.encoder.layers.3.self_attn.v_proj.bias	F32	150465704	150467240	384	384	43270c79
model.encoder.layers.3.self_attn.v_proj.weight	F32	150467240	151057064	384x384	147456	68827137
model.encoder.layers.3.self_attn_layer_norm.bias	F32	151057064	151058600	384	384	13133f12
model.encoder.layers.3.self_attn_layer_norm.weight	F32	151058600	151060136	384	384	dc05112c
