index	kind	Bq	Bm	Q	K	V	O	Qb	Kb	Vb	Rb	scale	gain	bias	weighted	o_round	tensor_gain
63	SELF_ATTENTION_KV	4.092250616388773	4.092250616388773	33.746393496783746	183.43344223990744	223.69938903195543	756.33071115034147	4.546577279122095	24.93592265013864	31.51951701949401	0	1099511627776	963609459	9300329714528717	8457.44314483237	1.157455272819267	963609458.3143127
66	CROSS_ATTENTION	7.47345625006614	5.531395556942608	31.479134966395552	226.29085426522778	191.40194455709934	770.35168605161402	4.4049985559269595	44.10166769831796	38.075976142096984	0	1099511627776	2207311740	26064385533818405	23703.297245603928	2.1233023708427696	2207311739.28287
72	SELF_ATTENTION_KV	12.193130478671977	12.193130478671977	18.688883258012694	164.77954407660067	251.550541711287	1013.8490480417819	4.441191002942498	37.27835186466715	59.493345302850244	0	1099511627776	2419744018	39602034237302500	36014.16782302475	3.6724952319443593	2419744017.951158
75	CROSS_ATTENTION	8.98602841857129	5.531395556942608	34.216014623643922	197.38516766509235	289.86902718736582	948.56305193905121	6.174776280736668	39.7797757738894	58.70259844302256	0	1099511627776	4095537142	55345778302142647	50332.45480737286	4.2373239249187895	4095537141.593562
81	SELF_ATTENTION_KV	9.220833569247302	9.220833569247302	20.883901500086093	149.59945560387257	419.48014095767053	1513.1726877187095	5.834072937659024	42.93394412254904	124.86515644026467	0	1099511627776	9255139723	187748645320080367	170742.31583562214	14.082348035461148	9255139722.567026
84	CROSS_ATTENTION	9.391935612860433	5.531395556942608	30.470119962150338	241.58484612825771	321.09084769893173	1098.4768210314685	5.699451552457122	46.74250235877711	65.15484761976278	0	1099511627776	5488235172	76178823464333816	69278.72469117309	5.51163693367192	5488235171.186592
90	SELF_ATTENTION_KV	10.674472979591428	10.674472979591428	29.695336130540326	212.48820090784039	402.11636865280997	1866.2880165261083	9.295811506745997	66.0192034913368	128.8735073546418	0	1099511627776	18715910596	417189744189116350	379406.8500427252	25.01193127901627	18715910595.73166
93	CROSS_ATTENTION	10.692044506497803	5.531395556942608	35.332022915188844	352.36680422550677	372.34551755306103	1062.2265391545825	6.683169911865795	73.35183669454804	74.18573634528228	0	1099511627776	8436202315	109257090474446718	99361.21829209168	7.526625542976072	8436202314.615873
99	SELF_ATTENTION_KV	26.642828851901115	26.642828851901115	20.289132871673495	173.14568799851517	500.69577933385096	1969.2412603395901	7.529868764441448	64.61825455323418	188.03833645018307	0	1099511627776	25843134270	682691170339661448	620862.8587514971	41.14361958401915	25843134269.22703
102	CROSS_ATTENTION	13.137210444421937	5.531395556942608	29.781327586826471	244.04191620480859	521.0607379968576	1725.7736793692031	7.228146731927105	47.120732286937525	107.70610585597241	0	1099511627776	13191122175	196028911246885753	178273.46109901732	13.795074340677075	13191122174.773426
108	SELF_ATTENTION_KV	23.79040297443803	23.79040297443803	17.173784128358491	144.54633096094136	568.7680353387583	2726.7377873213268	6.801391304636495	56.360274974173194	231.116344439851	0	1099511627776	36106564474	1021276134811226088	928782.5229272543	62.7107306896965	36106564473.78285
111	CROSS_ATTENTION	9.31253095026591	5.531395556942608	32.311285716818951	225.20979990229361	566.19647787630993	2029.6983935847816	6.657941755740164	42.41503056436879	109.55682976450322	0	1099511627776	17511577385	239434738741109709	217746.22027369047	18.40603173387358	17511577384.796215
117	SELF_ATTENTION_KV	31.138809187797563	31.138809187797563	19.459158183214839	205.59854778753368	531.9466736382177	1701.3146013674123	6.9166666858800845	70.70470414467275	183.3844479345484	0	1099511627776	26867607872	661498862260569803	601590.9508312641	38.75962354356458	26867607871.419224
120	CROSS_ATTENTION	7.703117462175094	5.531395556942608	41.354275423526445	278.95903099306588	803.76109967059381	2120.341488443406	6.614910849324151	52.68085232601404	157.4263182780217	0	1099511627776	32558615184	374595267605034904	340664.3212912384	28.08990475272532	32558615183.400833
